20 0.0151526 0.0511851 0.223672 0.244117 0.223672 0.244117 0.239583 0.250962
20 0.0102423 0.0133251 0.193095 0.256581 0.214812 0.307066 0.284467 0.573417
20 0.0135652 0.0447591 0.197343 0.25328 0.218922 0.282453 0.241991 0.347007
20 0.0222434 0.0669671 0.208326 0.348134 0.277136 0.564809 0.370067 0.77914
20 0.0270382 0.14286 0.186997 0.274184 0.232541 0.382912 0.310196 0.667614
20 0.0169395 0.0800201 0.228161 0.320989 0.268495 0.410097 0.310739 0.484354
20 0.026128 0.138379 0.290069 0.509743 0.37777 0.674683 0.52034 1.15966
20 0.0234371 0.114463 0.244733 0.42152 0.334252 0.605489 0.465581 1.10083
20 0.0269412 0.186974 0.325173 0.538941 0.559079 1.45144 0.82695 1.73056
20 0.0355292 0.138318 0.482267 1.11022 0.983308 2.67053 1.48272 3.00006
